Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
RPL14P5	ENSG00000225661	X	1008503	1010101	-	processed_pseudogene
MTND6P12	ENSG00000235039	X	5168918	5169439	-	processed_pseudogene
HADHBP1	ENSG00000238193	X	5305714	5307128	-	processed_pseudogene
PRKX-AS1	ENSG00000236188	X	3659487	3668192	+	lncRNA
DRAXINP1	ENSG00000225574	X	8783514	8784461	-	processed_pseudogene
VCX2	ENSG00000177504	X	8169944	8171267	-	protein_coding
ANAPC15P1	ENSG00000231619	X	8856665	8857059	-	processed_pseudogene
GS1-600G8.3	ENSG00000231216	X	13310652	13319933	+	lncRNA
NOLC1P1	ENSG00000225271	X	8980425	8982505	-	processed_pseudogene
RPS5P8	ENSG00000237730	X	6422092	6422701	-	processed_pseudogene
MTCYBP12	ENSG00000226313	X	5169512	5170645	+	processed_pseudogene
RPS27AP20	ENSG00000182888	X	3717149	3717600	+	processed_pseudogene
RPL6P30	ENSG00000215313	X	16198428	16199289	-	processed_pseudogene
AMELX	ENSG00000125363	X	11293413	11300761	+	protein_coding
DHRSX-IT1	ENSG00000223571	X	2334295	2336410	-	lncRNA
DHRSX	ENSG00000169084	X	2219506	2502805	-	protein_coding
RARRES2P3	ENSG00000231913	X	21421822	21422294	-	processed_pseudogene
FAM9CP1	ENSG00000275194	X	11221348	11225731	+	unprocessed_pseudogene
RPL24P9	ENSG00000225722	X	3953056	3953561	+	processed_pseudogene
FAM9B	ENSG00000177138	X	9024232	9295682	-	protein_coding
HIKESHIP1	ENSG00000226774	X	23351013	23351450	+	processed_pseudogene
GOT2P7	ENSG00000232392	X	11334233	11335901	-	processed_pseudogene
FAM9A	ENSG00000183304	X	8790795	8801383	-	protein_coding
LINC00685	ENSG00000226179	X	320990	321851	+	lncRNA
GRPR	ENSG00000126010	X	16123565	16153518	+	protein_coding
TMSB10P2	ENSG00000235211	X	18341216	18341346	+	processed_pseudogene
BEND2	ENSG00000177324	X	18162931	18220886	-	protein_coding
RPL35AP37	ENSG00000236929	X	15117437	15117768	-	processed_pseudogene
UBE2E4P	ENSG00000233247	X	14244382	14244928	+	processed_pseudogene
MDM4P1	ENSG00000225066	X	17933349	17934823	+	processed_pseudogene
BRK1P1	ENSG00000219870	X	9179385	9179606	+	processed_pseudogene
SRSF2P1	ENSG00000236072	X	34387722	34388464	+	processed_pseudogene
KLHL34	ENSG00000185915	X	21654690	21658330	-	protein_coding
CNKSR2	ENSG00000149970	X	21372801	21654695	+	protein_coding
LINC01283	ENSG00000234191	X	39401252	39434824	-	lncRNA
METTL1P1	ENSG00000176812	X	25194381	25195207	-	processed_pseudogene
SC4MOP	ENSG00000224339	X	37945884	37946775	+	processed_pseudogene
PLLPP1	ENSG00000237782	X	45381527	45381995	-	processed_pseudogene
RPS15AP40	ENSG00000233921	X	36374793	36375183	-	processed_pseudogene
HMGB1P16	ENSG00000229384	X	36211096	36211635	+	processed_pseudogene
GAPDHP65	ENSG00000235587	X	46439709	46440714	-	processed_pseudogene
PGAM1P7	ENSG00000213997	X	46646594	46647330	-	processed_pseudogene
RBM39P1	ENSG00000214019	X	44029332	44030921	+	processed_pseudogene
GAPDHP1	ENSG00000228232	X	39787132	39788136	-	processed_pseudogene
S100G	ENSG00000169906	X	16650158	16654670	+	protein_coding
MKI67P1	ENSG00000270499	X	46560928	46562749	-	processed_pseudogene
H2AP	ENSG00000187516	X	37990779	37991314	+	protein_coding
MOB1AP2	ENSG00000233810	X	37291168	37292227	+	processed_pseudogene
SIAH1P1	ENSG00000230227	X	35626142	35627064	+	processed_pseudogene
MAGEB17	ENSG00000182798	X	16167481	16171464	+	protein_coding
RPP40P1	ENSG00000229310	X	25591353	25591808	-	processed_pseudogene
FAM47B	ENSG00000189132	X	34942796	34944915	+	protein_coding
CTNNBL1P1	ENSG00000231235	X	46418450	46420079	-	processed_pseudogene
YBX1P8	ENSG00000226048	X	46684765	46685707	-	processed_pseudogene
PYY3	ENSG00000181977	X	50156159	50156371	+	processed_pseudogene
NANOGP10	ENSG00000231750	X	43407665	43408559	-	processed_pseudogene
NFYCP1	ENSG00000233880	X	35761499	35762479	+	processed_pseudogene
CHTF8P1	ENSG00000233543	X	44633692	44635232	+	processed_pseudogene
CCNYL5	ENSG00000230039	X	65821255	65822249	-	processed_pseudogene
CHMP5P1	ENSG00000215284	X	46725164	46725818	-	processed_pseudogene
MAGEB10	ENSG00000177689	X	27807990	27823014	+	protein_coding
ITIH6	ENSG00000102313	X	54748918	54798255	-	protein_coding
MTMR8	ENSG00000102043	X	64268081	64395452	-	protein_coding
ZFRP1	ENSG00000234570	X	62878811	62884842	-	processed_pseudogene
CDKL5	ENSG00000008086	X	18425583	18653629	+	protein_coding
CFAP47	ENSG00000165164	X	35919734	36385317	+	protein_coding
SSBL2P	ENSG00000236852	X	62779250	62780326	+	processed_pseudogene
FAM236B	ENSG00000268994	X	72781865	72782660	-	protein_coding
YY2	ENSG00000230797	X	21855987	21858740	+	protein_coding
ETF1P3	ENSG00000233833	X	65794345	65795835	+	processed_pseudogene
YWHAZP7	ENSG00000227261	X	64612632	64613262	-	processed_pseudogene
AKAP4	ENSG00000147081	X	50190777	50201007	-	protein_coding
YWHAZP8	ENSG00000225664	X	73274785	73275515	+	processed_pseudogene
KPNA4P1	ENSG00000213754	X	64305047	64306733	-	processed_pseudogene
RPL19P20	ENSG00000229168	X	44649129	44649719	+	processed_pseudogene
JADE3	ENSG00000102221	X	46912276	47061242	+	protein_coding
FOXR2	ENSG00000189299	X	55623400	55626192	+	protein_coding
HNRNPDP1	ENSG00000232794	X	64044305	64045058	+	processed_pseudogene
RBMXP5	ENSG00000217835	X	65956289	65957196	-	processed_pseudogene
PHKA1-AS1	ENSG00000231944	X	72688950	72712348	+	lncRNA
MAGEH1	ENSG00000187601	X	55452127	55453566	+	protein_coding
SMIM15P1	ENSG00000270280	X	43000174	43000396	+	processed_pseudogene
NDP-AS1	ENSG00000236276	X	43949732	43971582	+	lncRNA
SPIN4-AS1	ENSG00000233661	X	63349646	63352178	+	lncRNA
RPL23AP83	ENSG00000234135	X	56242937	56243409	-	processed_pseudogene
PSMA5P1	ENSG00000235136	X	55599663	55600106	-	processed_pseudogene
TERF1P7	ENSG00000232186	X	75326772	75327999	-	processed_pseudogene
LDHBP2	ENSG00000213684	X	76334841	76335845	-	processed_pseudogene
MTND1P31	ENSG00000235170	X	62842542	62843502	+	processed_pseudogene
