Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
RPL14P5	ENSG00000292328	Y	1008503	1010101	-	processed_pseudogene
DHRSX-IT1	ENSG00000292337	Y	2334295	2336410	-	lncRNA
DHRSX	ENSG00000292338	Y	2219506	2502805	-	protein_coding
LINC00685	ENSG00000292342	Y	320990	321851	+	lncRNA
MIR6089	ENSG00000292346	Y	2609191	2609254	+	miRNA
LINC00102	ENSG00000292347	Y	2612988	2615347	-	lncRNA
Metazoa_SRP	ENSG00000292350	Y	388100	388389	-	misc_RNA
FABP5P13	ENSG00000292352	Y	523775	524102	-	processed_pseudogene
KRT18P53	ENSG00000292353	Y	545236	545352	-	processed_pseudogene
SHOX	ENSG00000292354	Y	624344	659411	+	protein_coding
MIR3690	ENSG00000292355	Y	1293918	1293992	+	miRNA
RNA5SP498	ENSG00000292356	Y	1300256	1300375	-	rRNA_pseudogene
CD99P1	ENSG00000292361	Y	2609415	2623453	+	transcribed_unprocessed_pseudogene
CRLF2	ENSG00000292363	Y	1190490	1212723	-	protein_coding
ASMT	ENSG00000292336	Y	1615059	1643081	+	protein_coding
ASMTL-AS1	ENSG00000292331	Y	1401430	1414028	+	lncRNA
LINC00106	ENSG00000292341	Y	1392679	1400524	+	lncRNA
LINC02968	ENSG00000310540	Y	1657735	1763312	+	lncRNA
CD99P1	ENSG00000292362	Y	2608406	2666596	+	lncRNA
LINC03112	ENSG00000292360	Y	2566022	2609292	-	lncRNA
ZBED1	ENSG00000292345	Y	2486414	2502862	-	protein_coding
PPP2R3B	ENSG00000292327	Y	333933	386955	-	protein_coding
CD99	ENSG00000292348	Y	2690988	2741312	+	protein_coding
PLCXD1	ENSG00000292344	Y	276322	303358	+	protein_coding
P2RY8	ENSG00000292333	Y	1462572	1537187	-	protein_coding
IL3RA	ENSG00000292332	Y	1335025	1382689	+	protein_coding
GTPBP6	ENSG00000292358	Y	303346	318846	-	protein_coding
SLC25A6	ENSG00000292334	Y	1386133	1392929	-	protein_coding
ASMTL	ENSG00000292339	Y	1403138	1453786	-	protein_coding
CSF2RA	ENSG00000292357	Y	1268779	1325373	+	protein_coding
AKAP17A	ENSG00000292343	Y	1591604	1602532	+	protein_coding
AMD1P2	ENSG00000292364	Y	57015105	57016096	-	processed_pseudogene
DPH3P2	ENSG00000292365	Y	57062156	57062405	+	processed_pseudogene
ELOCP24	ENSG00000292367	Y	57165512	57165845	-	processed_pseudogene
TRPC6P1	ENSG00000292368	Y	57171890	57172769	-	processed_pseudogene
DDX11L16	ENSG00000292371	Y	57212184	57214397	-	unprocessed_pseudogene
WASH6P	ENSG00000292372	Y	57207346	57212230	+	protein_coding
WASIR1	ENSG00000292370	Y	57201135	57203405	-	lncRNA
IL9R	ENSG00000292373	Y	57184216	57199537	+	protein_coding
VAMP7	ENSG00000292366	Y	57067747	57130289	+	protein_coding
TSPY24P	ENSG00000215601	Y	8280198	8282209	+	unprocessed_pseudogene
ZNF92P1Y	ENSG00000215603	Y	7853686	7854876	-	processed_pseudogene
SERBP1P2	ENSG00000225878	Y	4801685	4802848	-	processed_pseudogene
TSPY12P	ENSG00000236435	Y	7687739	7689548	-	unprocessed_pseudogene
DUX4L19	ENSG00000258991	Y	11332329	11333595	+	unprocessed_pseudogene
OFD1P3Y	ENSG00000231988	Y	9030594	9039988	+	unprocessed_pseudogene
RBMY2HP	ENSG00000238073	Y	7671743	7676024	-	unprocessed_pseudogene
ELOCP35	ENSG00000271595	Y	17464879	17465214	-	processed_pseudogene
SLC9B1P1	ENSG00000183704	Y	11340579	11385687	-	unprocessed_pseudogene
USP12PY	ENSG00000232927	Y	3682805	3683868	+	processed_pseudogene
KDM5DP1	ENSG00000277438	Y	20570222	20570519	-	processed_pseudogene
DUX4L17	ENSG00000259154	Y	11314921	11316187	+	unprocessed_pseudogene
ZNF736P6Y	ENSG00000224634	Y	8350931	8352143	+	processed_pseudogene
TUSC2P1	ENSG00000285470	Y	5887504	5888740	+	processed_pseudogene
PUDPP1	ENSG00000234620	Y	15348662	15456074	-	unprocessed_pseudogene
CDRT15P10	ENSG00000273693	Y	11085476	11086061	-	processed_pseudogene
RNF19BPY	ENSG00000225653	Y	3777997	3779546	-	processed_pseudogene
