Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
H3P29	ENSG00000228783	9	1011085	1011799	+	processed_pseudogene
RCL1	ENSG00000120158	9	4792944	4885917	+	protein_coding
HNRNPA1P41	ENSG00000220937	9	4944670	4945902	-	processed_pseudogene
RPS29P33	ENSG00000226470	9	17096301	17096446	-	processed_pseudogene
JKAMPP1	ENSG00000231491	9	12287320	12288238	+	processed_pseudogene
PABPC1P11	ENSG00000228810	9	17589161	17591318	-	processed_pseudogene
BRD10	ENSG00000183354	9	5881596	6008482	-	protein_coding
RPS27AP14	ENSG00000236594	9	1164414	1164867	-	processed_pseudogene
AKAP8P1	ENSG00000234146	9	11011748	11013096	+	processed_pseudogene
FTH1P12	ENSG00000213362	9	15527133	15527683	-	processed_pseudogene
DMRTA1	ENSG00000176399	9	22446824	22455740	+	protein_coding
RPL31P42	ENSG00000237083	9	17108304	17108604	-	processed_pseudogene
MTCO3P30	ENSG00000229080	9	31505946	31506615	+	unprocessed_pseudogene
LINC01242	ENSG00000280683	9	30388935	30575012	-	lncRNA
CLIC4P1	ENSG00000236739	9	22747700	22748234	+	processed_pseudogene
SAMM50P1	ENSG00000224488	9	17447145	17448543	-	processed_pseudogene
HMGB3P23	ENSG00000235148	9	31644576	31645160	-	processed_pseudogene
RPS26P2	ENSG00000233278	9	30831878	30832225	-	processed_pseudogene
CHCHD4P3	ENSG00000236156	9	37434177	37434586	+	processed_pseudogene
LURAP1L	ENSG00000153714	9	12775020	12823060	+	protein_coding
LINC01627	ENSG00000224648	9	37383178	37384434	-	lncRNA
HMGN2P16	ENSG00000231376	9	15588355	15588615	+	processed_pseudogene
BOLA3P4	ENSG00000223807	9	32926051	32926450	+	processed_pseudogene
ASS1P12	ENSG00000237437	9	32945996	32947222	+	processed_pseudogene
SLC4A1APP1	ENSG00000232060	9	30558880	30559481	-	processed_pseudogene
KCTD9P3	ENSG00000187988	9	37477149	37478317	+	processed_pseudogene
RBPJP6	ENSG00000227924	9	42497704	42499134	-	processed_pseudogene
FTLP4	ENSG00000214020	9	30935485	30935977	+	processed_pseudogene
ATP5F1AP1	ENSG00000234861	9	42410830	42412150	-	processed_pseudogene
ATP5F1AP10	ENSG00000277297	9	66721158	66722760	+	processed_pseudogene
FKBP4P7	ENSG00000235256	9	62710036	62711398	-	processed_pseudogene
PAX5	ENSG00000196092	9	36833269	37034268	-	protein_coding
RPL32P21	ENSG00000125385	9	37046835	37047237	+	processed_pseudogene
CDCA7P2	ENSG00000235707	9	75401889	75402992	-	processed_pseudogene
TCEA1P4	ENSG00000236184	9	32979560	32980403	-	processed_pseudogene
RPL21P84	ENSG00000228781	9	78180214	78180693	-	processed_pseudogene
HSPA8P17	ENSG00000228557	9	30988085	30990572	+	processed_pseudogene
FKBP4P6	ENSG00000268234	9	42384805	42386136	+	processed_pseudogene
SLC28A3	ENSG00000197506	9	84275457	84340758	-	protein_coding
SDR42E1P2	ENSG00000277213	9	42408526	42409006	-	processed_pseudogene
MTCO3P40	ENSG00000228046	9	82427350	82428025	-	processed_pseudogene
HNRNPA1P14	ENSG00000227638	9	88410529	88411463	-	processed_pseudogene
SLC28A3-AS1	ENSG00000233262	9	84278219	84290131	+	lncRNA
RPS20P25	ENSG00000228375	9	81410279	81410630	+	processed_pseudogene
TYRP1	ENSG00000107165	9	12685439	12710285	+	protein_coding
GNA14	ENSG00000156049	9	77423079	77648322	-	protein_coding
FOXD4L3	ENSG00000187559	9	68302867	68305084	+	protein_coding
ATP5F1AP7	ENSG00000241571	9	62686912	62688190	+	processed_pseudogene
FAM74A7	ENSG00000277260	9	42199000	42204988	+	lncRNA
RPL21P85	ENSG00000231804	9	88484852	88485325	-	processed_pseudogene
RPL21P83	ENSG00000230188	9	37490421	37490893	-	processed_pseudogene
GNA14-AS1	ENSG00000231373	9	77456295	77526697	+	lncRNA
MTCO1P51	ENSG00000232981	9	80563571	80564630	-	unprocessed_pseudogene
CDRT15P7	ENSG00000268951	9	63719864	63720441	+	processed_pseudogene
SDR42E1P4	ENSG00000273849	9	66724584	66725064	+	processed_pseudogene
ASS1P3	ENSG00000233947	9	78178263	78179512	+	processed_pseudogene
PA2G4P6	ENSG00000231799	9	89449558	89450754	+	processed_pseudogene
OR7E31P	ENSG00000185074	9	90216039	90216924	+	unprocessed_pseudogene
SDR42E1P3	ENSG00000234276	9	62690033	62690534	+	processed_pseudogene
MTND3P4	ENSG00000230302	9	101793454	101793756	-	processed_pseudogene
LINC00583	ENSG00000205636	9	13927971	13945610	+	lncRNA
IL6RP1	ENSG00000234910	9	90081297	90082569	-	processed_pseudogene
RBPJP2	ENSG00000274181	9	66635754	66637197	+	processed_pseudogene
GRIN3A	ENSG00000198785	9	101569352	101738647	-	protein_coding
RPL7AP46	ENSG00000233555	9	63581254	63581834	-	processed_pseudogene
CYLC2	ENSG00000155833	9	102995311	103018488	+	protein_coding
OR7E116P	ENSG00000225072	9	90232185	90233141	+	unprocessed_pseudogene
BARX1	ENSG00000131668	9	93951627	93955355	-	protein_coding
LINC02578	ENSG00000235201	9	118740563	118745312	+	lncRNA
GAPDHP26	ENSG00000229541	9	100975668	100976682	+	processed_pseudogene
MTND2P9	ENSG00000225901	9	80565032	80565962	-	unprocessed_pseudogene
TUBB4BP6	ENSG00000231166	9	118763867	118764345	+	processed_pseudogene
ARL2BPP7	ENSG00000230418	9	102055252	102055741	-	processed_pseudogene
SLC25A6P2	ENSG00000232203	9	31253901	31254777	+	processed_pseudogene
BNIP3P4	ENSG00000271225	9	64810865	64811429	-	processed_pseudogene
IGKV1OR-2	ENSG00000156755	9	64765054	64765535	-	IG_V_pseudogene
KRT18P66	ENSG00000235626	9	30773464	30774732	+	processed_pseudogene
VPS13A	ENSG00000197969	9	77177445	77421537	+	protein_coding
FKBP4P8	ENSG00000276457	9	66744561	66745929	-	processed_pseudogene
RPL21P87	ENSG00000228053	9	110024881	110025358	-	processed_pseudogene
DEPDC1P2	ENSG00000232486	9	105758164	105760755	+	processed_pseudogene
HNRNPA1P15	ENSG00000214761	9	125595669	125596628	+	processed_pseudogene
RPS20P24	ENSG00000236862	9	72655832	72656192	-	processed_pseudogene
PHB1P7	ENSG00000213711	9	85898903	85899716	+	processed_pseudogene
LMX1B	ENSG00000136944	9	126613928	126701032	+	protein_coding
RPL36AP6	ENSG00000231293	9	107834509	107834829	-	processed_pseudogene
RPS15AP27	ENSG00000236783	9	107963703	107964045	-	processed_pseudogene
SPATA31A6	ENSG00000185775	9	42183659	42189887	+	protein_coding
DAPK1-IT1	ENSG00000236709	9	87553454	87554459	+	lncRNA
RPS27AP15	ENSG00000229753	9	72741152	72741617	-	processed_pseudogene
MYO5BP3	ENSG00000228656	9	63761546	63762824	-	processed_pseudogene
CDRT15P5	ENSG00000239792	9	30670964	30671966	-	unprocessed_pseudogene
CCSER2P1	ENSG00000235901	9	102515204	102518308	+	processed_pseudogene
GAS1	ENSG00000180447	9	86944362	86947506	-	protein_coding
KRT18P36	ENSG00000226246	9	30799471	30800746	-	processed_pseudogene
ZYG11AP1	ENSG00000232242	9	102611162	102612155	-	processed_pseudogene
FXNP2	ENSG00000177736	9	124968294	124968840	-	processed_pseudogene
MSANTD3-TMEFF1	ENSG00000251349	9	100442271	100577636	+	protein_coding
LINC01243	ENSG00000260720	9	31371611	31381490	-	lncRNA
COL27A1	ENSG00000196739	9	114155537	114312511	+	protein_coding
STK33P1	ENSG00000227412	9	85492579	85494094	+	processed_pseudogene
NUTF2P3	ENSG00000228248	9	77580245	77580628	+	processed_pseudogene
RBMXP2	ENSG00000215210	9	30689105	30690272	+	processed_pseudogene
ISCA1	ENSG00000135070	9	86264546	86283102	-	protein_coding
RXRA	ENSG00000186350	9	134317098	134440585	+	protein_coding
MTATP6P30	ENSG00000226998	9	31505280	31505943	+	unprocessed_pseudogene
CHCHD4P2	ENSG00000237360	9	108097432	108097851	-	processed_pseudogene
CAMSAP1	ENSG00000130559	9	135808487	135907546	-	protein_coding
RPL36P14	ENSG00000169253	9	108626833	108627150	+	processed_pseudogene
PTGES	ENSG00000148344	9	129738331	129753042	-	protein_coding
NPAP1P4	ENSG00000236521	9	80357029	80360338	-	processed_pseudogene
PAPPA	ENSG00000182752	9	116153791	116402321	+	protein_coding
ACTG1P19	ENSG00000237999	9	100731240	100732355	+	processed_pseudogene
KRT18P24	ENSG00000226234	9	79036413	79037568	-	processed_pseudogene
SPATA31B1P	ENSG00000231649	9	82057647	82063682	-	unprocessed_pseudogene
MTND2P8	ENSG00000237257	9	78741720	78742744	-	unprocessed_pseudogene
DDX10P2	ENSG00000230360	9	82086155	82088768	-	processed_pseudogene
RPS19P6	ENSG00000234637	9	80782338	80782770	-	processed_pseudogene
NFYCP2	ENSG00000224887	9	87084161	87085151	-	processed_pseudogene
RNA5SP279	ENSG00000202383	9	1333837	1333953	+	rRNA_pseudogene
RNU6-1073P	ENSG00000252991	9	1001858	1001963	-	snRNA
MIR101-2	ENSG00000199065	9	4850297	4850375	+	miRNA
RNU2-47P	ENSG00000222581	9	12300266	12300451	-	snRNA
RN7SL98P	ENSG00000240613	9	15525782	15526081	-	misc_RNA
RNU6-246P	ENSG00000207433	9	15544188	15544294	+	snRNA
SCARNA8	ENSG00000251733	9	19063656	19063786	-	scaRNA
RNU6-264P	ENSG00000252943	9	19073843	19073946	+	snRNA
Y_RNA	ENSG00000201118	9	19089593	19089688	+	misc_RNA
RN7SL720P	ENSG00000241152	9	17053901	17054204	+	misc_RNA
RNU6-14P	ENSG00000207360	9	15776181	15776286	-	snRNA
RN7SL849P	ENSG00000243115	9	12764761	12765055	-	misc_RNA
Y_RNA	ENSG00000272113	9	32820261	32820350	+	misc_RNA
Y_RNA	ENSG00000200502	9	37160137	37160237	+	misc_RNA
Y_RNA	ENSG00000206784	9	37322259	37322371	+	misc_RNA
RNU6-677P	ENSG00000252723	9	37333857	37333957	-	snRNA
RNA5SP530	ENSG00000277049	9	41237440	41237557	-	rRNA
SNORA70	ENSG00000276094	9	41573512	41573606	-	snoRNA
Y_RNA	ENSG00000278028	9	41672295	41672406	-	misc_RNA
RN7SL565P	ENSG00000276562	9	41578903	41579186	+	misc_RNA
MIR4477A	ENSG00000276029	9	41233755	41233835	+	miRNA
RN7SL343P	ENSG00000273717	9	42011350	42011610	+	misc_RNA
RNU6-1293P	ENSG00000206804	9	64880369	64880475	-	snRNA
RNA5SP285	ENSG00000252428	9	72299720	72299838	-	rRNA_pseudogene
Y_RNA	ENSG00000200041	9	75181520	75181621	-	misc_RNA
RN7SL422P	ENSG00000274852	9	67175775	67176035	-	misc_RNA
RN7SKP59	ENSG00000222452	9	78165465	78165778	+	misc_RNA
RNU6-1303P	ENSG00000201711	9	77635203	77635309	-	snRNA
RN7SKP242	ENSG00000251776	9	83200940	83201228	-	misc_RNA
RNU2-36P	ENSG00000222293	9	86422938	86423128	-	snRNA
RNU4-29P	ENSG00000251752	9	83275941	83276114	+	snRNA
RN7SKP264	ENSG00000223012	9	86258358	86258646	-	misc_RNA
RNU6-1228P	ENSG00000212316	9	75198071	75198177	+	snRNA
MIR4290	ENSG00000263967	9	90023441	90023535	-	miRNA
MIR4291	ENSG00000265347	9	93819357	93819421	+	miRNA
MIR4289	ENSG00000265873	9	88745836	88745905	-	miRNA
RN7SKP87	ENSG00000200966	9	100581079	100581379	-	misc_RNA
RNU6-996P	ENSG00000202308	9	107663140	107663246	-	snRNA
RNU6-329P	ENSG00000238882	9	102256604	102256710	+	snRNA
RNA5SP291	ENSG00000253031	9	103689473	103689577	-	rRNA_pseudogene
RN7SL659P	ENSG00000244104	9	107811616	107811914	-	misc_RNA
RNU6-1064P	ENSG00000222558	9	107797744	107797847	-	snRNA
MIR7702	ENSG00000274263	9	111271156	111271214	-	miRNA
