Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
PRDM16	ENSG00000142611	1	3069168	3438621	+	protein_coding
EEF1DP6	ENSG00000229280	1	4175528	4175899	-	processed_pseudogene
LINC01646	ENSG00000232596	1	4571481	4594016	+	lncRNA
LINC02782	ENSG00000231510	1	5086459	5090899	-	lncRNA
PLCH2	ENSG00000149527	1	2425980	2505532	+	protein_coding
LINC02781	ENSG00000284674	1	4973381	4981568	+	lncRNA
MTCYBP45	ENSG00000224338	1	11425257	11425821	-	processed_pseudogene
MFFP1	ENSG00000215720	1	15191828	15192845	-	processed_pseudogene
MMEL1	ENSG00000142606	1	2590639	2633016	-	protein_coding
VPS13D	ENSG00000048707	1	12230030	12512047	+	protein_coding
RPL10P17	ENSG00000225196	1	12220794	12221109	-	processed_pseudogene
HES5	ENSG00000197921	1	2528745	2530263	-	protein_coding
PPIAP34	ENSG00000234397	1	22322840	22323331	-	processed_pseudogene
IFITM3P7	ENSG00000233419	1	25125053	25125454	-	processed_pseudogene
LINC01756	ENSG00000230523	1	29329620	29350114	-	lncRNA
KAZN	ENSG00000189337	1	13892792	15118043	+	protein_coding
TMEM51-AS1	ENSG00000175147	1	15111815	15153618	-	lncRNA
FTLP18	ENSG00000230214	1	36630335	36630857	+	processed_pseudogene
LINC02810	ENSG00000236648	1	17717625	17749978	+	lncRNA
FTH1P1	ENSG00000232273	1	37544763	37545294	+	processed_pseudogene
CASZ1	ENSG00000130940	1	10636604	10796650	-	protein_coding
GRIK3	ENSG00000163873	1	36795527	37034515	-	protein_coding
PLA2G2D	ENSG00000117215	1	20111939	20119566	-	protein_coding
HSPA5P1	ENSG00000215895	1	38708931	38710890	+	processed_pseudogene
RPS29P6	ENSG00000230451	1	37330852	37330996	+	processed_pseudogene
RPS27P9	ENSG00000237749	1	37556247	37556499	+	processed_pseudogene
PADI6	ENSG00000276747	1	17372196	17401699	+	protein_coding
PADI4	ENSG00000159339	1	17308195	17364004	+	protein_coding
LINC01654	ENSG00000261781	1	18065657	18074412	+	lncRNA
SHMT1P1	ENSG00000224751	1	43850300	43851611	-	processed_pseudogene
PHB1P12	ENSG00000230585	1	50780340	50781150	+	processed_pseudogene
RLF	ENSG00000117000	1	40161387	40240921	+	protein_coding
FCF1P6	ENSG00000225671	1	50405430	50406024	-	processed_pseudogene
RPL6P1	ENSG00000236111	1	45781277	45781957	+	processed_pseudogene
DLGAP3	ENSG00000116544	1	34865436	34929650	-	protein_coding
TMA16P2	ENSG00000232467	1	45846994	45847594	-	processed_pseudogene
MRPS6P2	ENSG00000237130	1	50846468	50846837	+	processed_pseudogene
CLSPN-AS1	ENSG00000232335	1	35739389	35743576	+	lncRNA
CZIB-DT	ENSG00000259818	1	53220663	53224253	+	lncRNA
LAMTOR5P1	ENSG00000236646	1	62038842	62039111	+	processed_pseudogene
KLF17	ENSG00000171872	1	44118821	44135140	+	protein_coding
SNIP1	ENSG00000163877	1	37534449	37554293	-	protein_coding
RPS13P2	ENSG00000228929	1	52772194	52772648	-	processed_pseudogene
RPL23AP85	ENSG00000224980	1	56585612	56586242	-	processed_pseudogene
GTF2F2P2	ENSG00000233910	1	40593633	40594353	-	processed_pseudogene
KLF18	ENSG00000283039	1	44137821	44141631	-	protein_coding
DNAJC6-AS1	ENSG00000229294	1	65279456	65306521	-	lncRNA
GAPDHP51	ENSG00000236973	1	51707138	51708137	-	processed_pseudogene
GDI2P2	ENSG00000233994	1	72274552	72275159	+	processed_pseudogene
RNFT1P2	ENSG00000233333	1	78170481	78171237	-	processed_pseudogene
AK5	ENSG00000154027	1	77282019	77559966	+	protein_coding
COX6A1P1	ENSG00000234108	1	80495903	80496233	+	processed_pseudogene
ADH5P2	ENSG00000232676	1	79521080	79522203	+	processed_pseudogene
RPL29P5	ENSG00000213579	1	75582099	75582555	+	processed_pseudogene
KRT8P21	ENSG00000229636	1	73104792	73106282	+	processed_pseudogene
DNAJC6	ENSG00000116675	1	65248219	65415871	+	protein_coding
LEPROT	ENSG00000213625	1	65420587	65436007	+	protein_coding
NDUFS5P3	ENSG00000233664	1	52709122	52709442	+	processed_pseudogene
RPL13AP9	ENSG00000213703	1	62641122	62641667	-	processed_pseudogene
COX6CP13	ENSG00000234144	1	65298755	65298980	-	processed_pseudogene
PDE4B-AS1	ENSG00000227466	1	66042500	66050718	-	lncRNA
GJA9	ENSG00000131233	1	38874069	38881587	-	protein_coding
NEGR1-IT1	ENSG00000228853	1	71794232	71837012	-	lncRNA
RPL17P6	ENSG00000226084	1	77129114	77129668	+	processed_pseudogene
PGBD4P8	ENSG00000229332	1	60097415	60097976	+	processed_pseudogene
MTND2P30	ENSG00000227937	1	81080790	81081171	+	processed_pseudogene
RPL7P10	ENSG00000229752	1	81098267	81099005	-	processed_pseudogene
SLC25A6P3	ENSG00000232846	1	51709062	51709940	+	processed_pseudogene
PSAT1P3	ENSG00000230787	1	79054945	79056055	-	processed_pseudogene
NEGR1	ENSG00000172260	1	71395943	72282539	-	protein_coding
SHISAL2A	ENSG00000182183	1	52633168	52669683	+	protein_coding
HMGB1P18	ENSG00000236407	1	80283352	80283970	+	processed_pseudogene
DNTTIP2	ENSG00000067334	1	93866284	93879918	-	protein_coding
HNRNPA1P64	ENSG00000213559	1	80451083	80452004	-	processed_pseudogene
PHKA1P1	ENSG00000232882	1	90892992	90893612	-	processed_pseudogene
COL24A1	ENSG00000171502	1	85729233	86156943	-	protein_coding
GPX7	ENSG00000116157	1	52602371	52609051	+	protein_coding
MTCO1P21	ENSG00000226960	1	93927714	93928302	-	unprocessed_pseudogene
MROH7-TTC4	ENSG00000271723	1	54641786	54742308	+	protein_coding
HNRNPCP9	ENSG00000232048	1	67660155	67661013	-	processed_pseudogene
KATNBL1P2	ENSG00000232857	1	94650544	94651378	-	processed_pseudogene
HMGB1P45	ENSG00000229316	1	50398825	50399773	-	processed_pseudogene
MTND4P11	ENSG00000234099	1	93922574	93923945	-	unprocessed_pseudogene
MTCO3P21	ENSG00000232752	1	93924743	93925385	-	unprocessed_pseudogene
TBCAP2	ENSG00000235829	1	14692129	14692613	-	processed_pseudogene
BARHL2	ENSG00000143032	1	90711539	90717302	-	protein_coding
SNX7-DT	ENSG00000280040	1	98660388	98661059	-	TEC
OOSP1P1	ENSG00000238037	1	44155028	44155301	-	processed_pseudogene
EEF1A1P11	ENSG00000228502	1	96446930	96448318	+	processed_pseudogene
